House_Number,Road,Town,Postcode,Latitude,Longitude,Bedrooms,Bathrooms,Currently_For_Sale,Month,Year,Price,Rightmove_Link,EPC_Rating,EPC_Score,EPC_Potential_Rating,EPC_Potential_Score,EPC_Certificate_Number,EPC_Link,Floor_Area_(m^2),Floor_Area_(ft^2),Property_Type
11,Orme Road,Bangor,LL57 1AY,53.23061642337810,-4.12151341386590,,,,,,,,D,61,B,85,0729-2807-7987-9423-0575,https://find-energy-certificate.service.gov.uk/energy-certificate/0729-2807-7987-9423-0575,119,1281,End-terrace
12,Orme Road,Bangor,LL57 1AY,53.23069879592960,-4.12191055899149,,,No,8,2001,95000,https://www.rightmove.co.uk/house-prices/details/england-52607628?s=1506cd2edcdf64d5063f654720b12981068ae4597f737627e0808a315a6d6eea#/,,,,,,https://find-energy-certificate.service.gov.uk/energy-certificate/,,,Semi-detached
13,Orme Road,Bangor,LL57 1AY,53.23066130385310,-4.12147251727404,4,2,No,5,2019,150000,https://www.rightmove.co.uk/house-prices/details/england-70808206-9724963?s=1b64845897900c8bc110e6489e45bae1bb95f469a2b0c0b2a0e54286c78c8417#/,D,63,C,73,7508-3018-6271-5718-4084,https://find-energy-certificate.service.gov.uk/energy-certificate/7508-3018-6271-5718-4084,108,1163,Terrace
14,Orme Road,Bangor,LL57 1AY,53.23077085249420,-4.12179605473828,3,1,No,9,2017,145000,https://www.rightmove.co.uk/house-prices/details/england-58439593-55256003?s=d6901d76c6f652cf5e7970b2ea404597c938a4e1b71df490b60b4c368ffca757#/,E,48,C,73,9704-2839-7229-9892-5015,https://find-energy-certificate.service.gov.uk/energy-certificate/9704-2839-7229-9892-5015,63,678,Mid-terrace Bungalow
15,Orme Road,Bangor,LL57 1AY,53.23070357168940,-4.12141990875380,5,,No,6,2011,162000,https://www.rightmove.co.uk/house-prices/details/england-141753608-52607697?s=ade52df5076b59cc90c45e868af15cd69d3bee0e7b281ecfda6d79710c706c25#/,D,62,C,77,1629-1324-7000-0149-0202,https://find-energy-certificate.service.gov.uk/energy-certificate/1629-1324-7000-0149-0202,110,1184,Mid-terrace
16,Orme Road,Bangor,LL57 1AY,53.23082181917580,-4.12175005721608,,,No,1,2005,120000,https://www.rightmove.co.uk/house-prices/details/england-52607649?s=b284396edda86a30c1029db3ad32a3721266ed0f37ae52bead5e7026adf6e68b#/,D,65,B,84,1000-5327-0122-9001-2193,https://find-energy-certificate.service.gov.uk/energy-certificate/1000-5327-0122-9001-2193,113,1216,Semi-detached
17,Orme Road,Bangor,LL57 1AY,53.23074943277820,-4.12139890310465,6,2,No,12,2014,221500,https://www.rightmove.co.uk/house-prices/details/england-128632352-52607721?s=2957d3a6e62cd0e979d86074ba573cf04ce1a2d9883445441559996c62ecd4b4#/,D,68,B,81,9959-2804-6802-9128-8065,https://find-energy-certificate.service.gov.uk/energy-certificate/9959-2804-6802-9128-8065,100,1076,End-terrace
18,Orme Road,Bangor,LL57 1AY,53.23086751345920,-4.12171286790714,5,,No,3,1999,65000,https://www.rightmove.co.uk/house-prices/details/england-42708162-52607616?s=2c9de2edfc033b06cfe6b63779decbee20ed14193eed085e2450b5b504c37797#/,D,56,B,83,9270-2118-1090-2390-7031,https://find-energy-certificate.service.gov.uk/energy-certificate/9270-2118-1090-2390-7031,115,1238,Semi-detached
19,Orme Road,Bangor,LL57 1AY,53.23085648766520,-4.12120110534170,,,,,,,,E,39,B,81,9459-2840-7308-9423-4401,https://find-energy-certificate.service.gov.uk/energy-certificate/9459-2840-7308-9423-4401,90,969,End-terrace
20,Orme Road,Bangor,LL57 1AY,53.23100459577610,-4.12159053321561,,,,,,,,D,57,C,78,0939-2869-7562-9795-1765,https://find-energy-certificate.service.gov.uk/energy-certificate/0939-2869-7562-9795-1765,121,1302,End-terrace
